OrderDate,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,Region,CustomerType
2024-04-12,Respiratory Care,Oxygen Concentrator,15,222.28,3334.2,Nordjylland,Clinic
2024-03-28,Diabetes,Test Strips,4,51.43,205.72,Sjælland,Care Home
2024-07-10,Stoma Care,Stoma Bag,1,98.23,98.23,Nordjylland,Private
2024-06-18,Respiratory Care,Oxygen Concentrator,16,77.5,1240.0,Midtjylland,Care Home
2024-05-10,Nutrition,Nutritional Supplement,5,186.19,930.95,Nordjylland,Hospital
2024-08-29,Incontinence,Absorbent Pads,9,14.63,131.67,Nordjylland,Hospital
2024-09-20,Incontinence,Adult Diapers,15,60.28,904.2,Nordjylland,Care Home
2024-02-23,Infusion Therapy,Infusion Pump,10,174.63,1746.3,Midtjylland,Clinic
2024-09-26,Respiratory Care,CPAP Machine,16,104.7,1675.2,Hovedstaden,Hospital
2024-08-24,Diabetes,Insulin Pen,18,166.51,2997.18,Hovedstaden,Clinic
2024-06-05,Respiratory Care,CPAP Machine,15,57.93,-868.95,Syddanmark,Clinic
2024-03-03,Wound Care,Antiseptic Spray,11,67.66,744.26,Sjælland,Private
2024-02-10,Wound Care,Antiseptic Spray,7,256.51,1795.57,Sjælland,Hospital
2024-10-19,Respiratory Care,Oxygen Concentrator,3,181.48,544.44,Syddanmark,Hospital
2024-05-10,Diabetes,Insulin Pen,1,219.3,219.3,Nordjylland,Hospital
2024-12-11,Incontinence,Adult Diapers,10,137.41,1374.1,Hovedstaden,Hospital
2024-08-09,Infusion Therapy,IV Tubing Set,5,82.29,411.45,Nordjylland,Clinic
2024-07-05,Stoma Care,Adhesive Ring,19,56.75,1078.25,Midtjylland,Care Home
2024-01-28,Wound Care,Sterile Bandage,12,64.11,769.32,Syddanmark,Private
2024-08-18,Nutrition,Enteral Nutrition Formula,-1,88.92,88.92,Syddanmark,Clinic
2024-07-16,Incontinence,Adult Diapers,8,164.89,1319.12,Midtjylland,Hospital
2024-11-10,Diabetes,Insulin Pen,9,127.11,1143.99,Midtjylland,Clinic
2024-04-22,Infusion Therapy,IV Tubing Set,5,92.6,463.0,Midtjylland,Care Home
2024-08-11,Nutrition,Nutritional Supplement,1,193.96,193.96,Hovedstaden,Clinic
2024-09-03,Diabetes,Insulin Pen,4,33.45,133.8,Midtjylland,Clinic
2024-04-07,Diabetes,Test Strips,6,125.66,753.96,Midtjylland,Hospital
2024-12-14,Wound Care,Sterile Bandage,-3,181.36,544.08,Syddanmark,Private
2024-12-17,Stoma Care,Stoma Bag,7,60.57,423.99,Sjælland,Hospital
2024-05-30,Infusion Therapy,IV Tubing Set,10,84.8,848.0,Midtjylland,Private
2024-01-02,Diabetes,Test Strips,1,37.0,37.0,Midtjylland,Care Home
2024-04-08,Wound Care,Sterile Bandage,19,220.53,4190.07,Hovedstaden,Hospital
2024-03-15,Wound Care,Sterile Bandage,17,,966.79,Midtjylland,Clinic
2024-04-08,Nutrition,Enteral Nutrition Formula,18,56.63,1019.34,Hovedstaden,Hospital
2024-06-09,Nutrition,Nutritional Supplement,4,78.8,315.2,Midtjylland,Private
2024-05-07,Respiratory Care,CPAP Machine,1,167.34,167.34,Sjælland,Private
2024-08-17,Nutrition,Nutritional Supplement,13,151.16,1965.08,Nordjylland,Private
2024-11-12,Incontinence,Absorbent Pads,16,91.42,-1462.72,Sjælland,Private
2024-02-15,Infusion Therapy,Infusion Pump,6,117.35,-704.1,Hovedstaden,Private
2024-04-08,Wound Care,Antiseptic Spray,1,31.85,31.85,Nordjylland,Private
2024-01-18,Incontinence,Absorbent Pads,10,281.48,2814.8,Nordjylland,Care Home
2024-12-07,Infusion Therapy,IV Tubing Set,2,83.71,167.42,Midtjylland,Care Home
2024-09-02,Stoma Care,Adhesive Ring,16,170.32,2725.12,Hovedstaden,Private
2024-11-11,Stoma Care,Adhesive Ring,7,155.44,1088.08,Syddanmark,Hospital
2024-05-22,Respiratory Care,Oxygen Concentrator,2,37.25,74.5,Hovedstaden,Clinic
2024-05-04,Diabetes,Test Strips,17,20.83,354.11,Nordjylland,Private
2024-02-22,Diabetes,Blood Glucose Meter,12,289.92,3479.04,Syddanmark,Private
2024-12-20,Nutrition,Nutritional Supplement,8,220.57,1764.56,Midtjylland,Clinic
2024-11-14,Infusion Therapy,IV Tubing Set,-19,137.3,2608.7,Nordjylland,Clinic
2024-05-08,Diabetes,Blood Glucose Meter,1,138.28,138.28,Midtjylland,Hospital
2024-09-28,Diabetes,Insulin Pen,7,200.56,1403.92,Hovedstaden,Care Home
2024-03-26,Respiratory Care,CPAP Machine,14,36.62,512.68,Sjælland,Private
2024-08-05,Infusion Therapy,Infusion Pump,16,244.0,3904.0,Syddanmark,Care Home
2024-09-02,Respiratory Care,CPAP Machine,-5,267.14,1335.7,Midtjylland,Hospital
2024-11-20,Stoma Care,Stoma Bag,13,,744.25,Sjælland,Private
2024-12-05,Incontinence,Adult Diapers,12,122.57,1470.84,Hovedstaden,Private
2024-11-18,Nutrition,Enteral Nutrition Formula,1,288.75,288.75,Syddanmark,Clinic
2024-09-09,Incontinence,Absorbent Pads,19,189.29,3596.51,Syddanmark,Clinic
2024-04-24,Wound Care,Sterile Bandage,9,153.85,1384.65,Hovedstaden,Private
2024-08-04,Wound Care,Antiseptic Spray,4,61.46,245.84,Sjælland,Clinic
2024-04-05,Diabetes,Blood Glucose Meter,5,79.19,395.95,Syddanmark,Clinic
2024-03-02,Nutrition,Enteral Nutrition Formula,16,122.99,1967.84,Syddanmark,Hospital
2024-03-16,Respiratory Care,Oxygen Concentrator,9,102.6,923.4,Nordjylland,Care Home
2024-03-09,Incontinence,Adult Diapers,3,184.71,554.13,Sjælland,Care Home
2024-02-08,Diabetes,Test Strips,13,279.97,3639.61,Midtjylland,Private
2024-08-08,Infusion Therapy,Infusion Pump,11,214.69,2361.59,Nordjylland,Private
2024-08-17,Incontinence,Adult Diapers,7,133.57,934.99,Midtjylland,Clinic
2024-01-29,Incontinence,Absorbent Pads,5,77.64,388.2,Midtjylland,Private
2024-11-22,Stoma Care,Stoma Bag,13,228.48,2970.24,Midtjylland,Clinic
2024-03-31,Wound Care,Sterile Bandage,10,,2728.4,Hovedstaden,Clinic
2024-02-27,Incontinence,Absorbent Pads,8,44.08,352.64,Nordjylland,Clinic
2024-07-09,Infusion Therapy,IV Tubing Set,17,34.04,578.68,Midtjylland,Care Home
2024-06-21,Diabetes,Blood Glucose Meter,15,268.43,4026.45,Syddanmark,Hospital
2024-01-20,Wound Care,Antiseptic Spray,18,58.2,1047.6,Sjælland,Hospital
2024-09-15,Stoma Care,Stoma Bag,16,223.76,3580.16,Syddanmark,Hospital
2024-06-04,Diabetes,Insulin Pen,8,59.21,473.68,Hovedstaden,Clinic
2024-12-22,Diabetes,Insulin Pen,9,85.39,768.51,Syddanmark,Hospital
2024-08-07,Incontinence,Adult Diapers,16,57.16,914.56,Midtjylland,Hospital
2024-10-29,Incontinence,Absorbent Pads,2,34.0,68.0,Nordjylland,Care Home
2024-03-05,Wound Care,Sterile Bandage,18,296.31,5333.58,Midtjylland,Clinic
2024-10-09,Stoma Care,Adhesive Ring,17,253.12,4303.04,Hovedstaden,Clinic
2024-01-06,Stoma Care,Stoma Bag,17,164.96,2804.32,Hovedstaden,Care Home
2024-07-20,Stoma Care,Adhesive Ring,10,119.58,1195.8,Syddanmark,Care Home
2024-09-16,Diabetes,Blood Glucose Meter,1,204.79,204.79,Syddanmark,Clinic
2024-06-10,Nutrition,Enteral Nutrition Formula,3,160.85,482.55,Hovedstaden,Care Home
2024-11-08,Wound Care,Antiseptic Spray,17,48.86,-830.62,Midtjylland,Private
2024-04-12,Respiratory Care,CPAP Machine,6,189.01,1134.06,Sjælland,Care Home
2024-11-03,Diabetes,Insulin Pen,6,140.76,844.56,Nordjylland,Care Home
2024-10-11,Incontinence,Adult Diapers,4,143.21,572.84,Syddanmark,Hospital
2024-09-18,Infusion Therapy,IV Tubing Set,2,105.34,210.68,Midtjylland,Private
2024-07-01,Infusion Therapy,IV Tubing Set,16,54.05,864.8,Syddanmark,Care Home
2024-07-13,Respiratory Care,Oxygen Concentrator,3,159.42,478.26,Nordjylland,Clinic
2024-04-01,Respiratory Care,Oxygen Concentrator,10,61.33,613.3,Sjælland,Private
2024-02-03,Diabetes,Test Strips,17,155.99,2651.83,Midtjylland,Hospital
2024-08-26,Stoma Care,Stoma Bag,11,277.05,3047.55,Sjælland,Private
2024-09-09,Stoma Care,Adhesive Ring,15,165.61,2484.15,Nordjylland,Hospital
